panel,quantity,x,normalized_y,x_variable,kBT_over_t1,g_fixed,central_difference_half_step,M_reference
a,M,0.01,1.0,kBT/t1,0.01,0.8,,0.16258811206509494
a,M,0.010451418781035782,1.0,kBT/t1,0.010451418781035782,0.8,,0.16258811206509494
a,M,0.010923215453658753,1.0,kBT/t1,0.010923215453658753,0.8,,0.16258811206509494
a,M,0.011416309914166938,0.999999999999999,kBT/t1,0.011416309914166938,0.8,,0.16258811206509494
a,M,0.011931663584704934,0.9999999999999949,kBT/t1,0.011931663584704934,0.8,,0.16258811206509494
a,M,0.012470281287818593,0.9999999999999831,kBT/t1,0.012470281287818593,0.8,,0.16258811206509494
a,M,0.013033213205630634,0.9999999999999404,kBT/t1,0.013033213205630634,0.8,,0.16258811206509494
a,M,0.013621556927457158,0.9999999999998032,kBT/t1,0.013621556927457158,0.8,,0.16258811206509494
a,M,0.014236459589857387,0.9999999999993855,kBT/t1,0.014236459589857387,0.8,,0.16258811206509494
a,M,0.014879120113289247,0.9999999999981657,kBT/t1,0.014879120113289247,0.8,,0.16258811206509494
a,M,0.015550791539731849,0.9999999999947636,kBT/t1,0.015550791539731849,0.8,,0.16258811206509494
a,M,0.01625278347583259,0.9999999999856922,kBT/t1,0.01625278347583259,0.8,,0.16258811206509494
a,M,0.016986464646342472,0.9999999999624941,kBT/t1,0.016986464646342472,0.8,,0.16258811206509494
a,M,0.017753265562818407,0.9999999999055271,kBT/t1,0.017753265562818407,0.8,,0.16258811206509494
a,M,0.01855468131279561,0.9999999997709228,kBT/t1,0.01855468131279561,0.8,,0.16258811206509494
a,M,0.019392274474868576,0.9999999994644169,kBT/t1,0.019392274474868576,0.8,,0.16258811206509494
a,M,0.020267678165364227,0.9999999987907232,kBT/t1,0.020267678165364227,0.8,,0.16258811206509494
a,M,0.021182599222547654,0.9999999973592333,kBT/t1,0.021182599222547654,0.8,,0.16258811206509494
a,M,0.02213882153456886,0.999999994414471,kBT/t1,0.02213882153456886,0.8,,0.16258811206509494
a,M,0.02313820951763924,0.9999999885415565,kBT/t1,0.02313820951763924,0.8,,0.16258811206509494
a,M,0.024182711751219565,0.999999977171071,kBT/t1,0.024182711751219565,0.8,,0.16258811206509494
a,M,0.0252743647773071,0.9999999557726674,kBT/t1,0.0252743647773071,0.8,,0.16258811206509494
a,M,0.02641529707122967,0.9999999165811417,kBT/t1,0.02641529707122967,0.8,,0.16258811206509494
a,M,0.027607733191688924,0.9999998466420433,kBT/t1,0.027607733191688924,0.8,,0.16258811206509494
a,M,0.02885399811814427,0.9999997248968827,kBT/t1,0.02885399811814427,0.8,,0.16258811206509494
a,M,0.030156521783994417,0.9999995179528152,kBT/t1,0.030156521783994417,0.8,,0.16258811206509494
a,M,0.031517843814395395,0.9999991741024529,kBT/t1,0.031517843814395395,0.8,,0.16258811206509494
a,M,0.03294061847795247,0.9999986150822813,kBT/t1,0.03294061847795247,0.8,,0.16258811206509494
a,M,0.03442761986194067,0.9999977249909731,kBT/t1,0.03442761986194067,0.8,,0.16258811206509494
a,M,0.03598174728114473,0.9999963357411645,kBT/t1,0.03598174728114473,0.8,,0.16258811206509494
a,M,0.03760603093086394,0.999994208400292,kBT/t1,0.03760603093086394,0.8,,0.16258811206509494
a,M,0.03930363779510439,0.9999910097982141,kBT/t1,0.03930363779510439,0.8,,0.16258811206509494
a,M,0.04107787782147818,0.999986283850658,kBT/t1,0.04107787782147818,0.8,,0.16258811206509494
a,M,0.04293221037484905,0.9999794171757276,kBT/t1,0.04293221037484905,0.8,,0.16258811206509494
a,M,0.044870250982307666,0.9999695987697101,kBT/t1,0.044870250982307666,0.8,,0.16258811206509494
a,M,0.046895778382627956,0.9999557737593336,kBT/t1,0.046895778382627956,0.8,,0.16258811206509494
a,M,0.04901274189394899,0.9999365915566277,kBT/t1,0.04901274189394899,0.8,,0.16258811206509494
a,M,0.05122526911404778,0.9999103491017935,kBT/t1,0.05122526911404778,0.8,,0.16258811206509494
a,M,0.05353767396821712,0.9998749302759403,kBT/t1,0.05353767396821712,0.8,,0.16258811206509494
a,M,0.055954465120439514,0.9998277429820986,kBT/t1,0.055954465120439514,0.8,,0.16258811206509494
a,M,0.058480354764257315,0.9997656558078308,kBT/t1,0.058480354764257315,0.8,,0.16258811206509494
a,M,0.061120267810479426,0.9996849365707047,kBT/t1,0.061120267810479426,0.8,,0.16258811206509494
a,M,0.06387935148963818,0.9995811953806455,kBT/t1,0.06387935148963818,0.8,,0.16258811206509494
a,M,0.06676298538791905,0.999449335101044,kBT/t1,0.06676298538791905,0.8,,0.16258811206509494
a,M,0.06977679193613147,0.9992835122234413,kBT/t1,0.06977679193613147,0.8,,0.16258811206509494
a,M,0.0729266473721711,0.9990771111613886,kBT/t1,0.0729266473721711,0.8,,0.16258811206509494
a,M,0.07621869319834827,0.9988227347949302,kBT/t1,0.07621869319834827,0.8,,0.16258811206509494
a,M,0.07965934815592214,0.9985122137435932,kBT/t1,0.07965934815592214,0.8,,0.16258811206509494
a,M,0.08325532074018732,0.998136636308946,kBT/t1,0.08325532074018732,0.8,,0.16258811206509494
a,M,0.08701362228051517,0.9976864003174578,kBT/t1,0.08701362228051517,0.8,,0.16258811206509494
a,M,0.09094158061085297,0.9971512872354505,kBT/t1,0.09094158061085297,0.8,,0.16258811206509494
a,M,0.09504685435733488,0.9965205579605885,kBT/t1,0.09504685435733488,0.8,,0.16258811206509494
a,M,0.09933744787086225,0.995783068672937,kBT/t1,0.09933744787086225,0.8,,0.16258811206509494
a,M,0.10382172683376927,0.9949274041177175,kBT/t1,0.10382172683376927,0.8,,0.16258811206509494
a,M,0.10850843457100233,0.9939420247620361,kBT/t1,0.10850843457100233,0.8,,0.16258811206509494
a,M,0.11340670909761662,0.9928154234874329,kBT/t1,0.11340670909761662,0.8,,0.16258811206509494
a,M,0.11852610093582917,0.9915362869105809,kBT/t1,0.11852610093582917,0.8,,0.16258811206509494
